,artist_name,RelatedArtist_Name,rank,external_urls__spotify,followers__total,genres__001,genres__002,genres__003,genres__004,genres__005,id,Large_image,Medium_image,Small_image,popularity,type
148,17 Memphis,Smithfield,9,https://open.spotify.com/artist/1aPmWgDU4JXEWg1d2BwH5M,30811,contemporary country,country pop,,,,1aPmWgDU4JXEWg1d2BwH5M,https://i.scdn.co/image/4bf9d51dd6a81ca8fb6c89253e083d58b4023808,https://i.scdn.co/image/ce347d9bab2c273de7107dab5361ee10a78b11e7,https://i.scdn.co/image/b405c4addf07ae507a358fab1d60579928444f36,43,artist
149,17 Memphis,The Roads Below,10,https://open.spotify.com/artist/4gTxZRVdDpwAZCpSaXy7fI,4689,country pop,,,,,4gTxZRVdDpwAZCpSaXy7fI,https://i.scdn.co/image/34bc3ff37356dfa658467acb1bd34372369c7106,https://i.scdn.co/image/a553c2f668cb1e1e8edf9729bacec4c6ddd27de8,https://i.scdn.co/image/8c761d299bd3b908600ec5eeba25e30547371d8d,39,artist
150,17 Memphis,Walker Montgomery,11,https://open.spotify.com/artist/5vAB5nEXC8gfRxudmFF9jl,9095,contemporary country,country pop,,,,5vAB5nEXC8gfRxudmFF9jl,https://i.scdn.co/image/3a5911d6359805718a30d1e1855b74389acddf39,https://i.scdn.co/image/1376bc10a085a9718dd0cf7c5f4667239ac99e88,https://i.scdn.co/image/09d7e907c8a8a6b40dd600c1edfd6052abda578d,44,artist
151,17 Memphis,Jameson Rodgers,12,https://open.spotify.com/artist/5pyVHz7lcfqKoV9BflFYwN,33285,contemporary country,country pop,,,,5pyVHz7lcfqKoV9BflFYwN,https://i.scdn.co/image/795e7652248d5c1b3215b4655d8b187845215aef,https://i.scdn.co/image/370f162bda065c03b9a58df1b90765b6bb5fff24,https://i.scdn.co/image/dc3cd4226c2583a0ac1086ee6883b1714419de59,61,artist
152,17 Memphis,Chris Bandi,13,https://open.spotify.com/artist/10I1X1Vygp2J6R4jP5gF10,15473,contemporary country,country pop,,,,10I1X1Vygp2J6R4jP5gF10,https://i.scdn.co/image/80007ceb2dbe2253051facd23f6f51bd2ff5054e,https://i.scdn.co/image/456edecff2d4c3bd200e0d57a10dbee1cb8f7a88,https://i.scdn.co/image/099be7a555f21328e25a224a9836f89a8c9facff,50,artist
153,17 Memphis,Hunter Phelps,14,https://open.spotify.com/artist/3TiUMPXO9xfV406Vv8qYXq,13599,contemporary country,country pop,,,,3TiUMPXO9xfV406Vv8qYXq,https://i.scdn.co/image/4fd851c32dbb5985df5c63b373cb8294e95fd8f9,https://i.scdn.co/image/64d198a7bda31d421520ad665a9ac0ce4e91aafa,https://i.scdn.co/image/6c8049bdcc89b3439bc87f7004079fadf16d253d,52,artist
154,17 Memphis,Trea Landon,15,https://open.spotify.com/artist/0uzF7KK6coJpJvOW6Vrv1H,11252,contemporary country,country pop,,,,0uzF7KK6coJpJvOW6Vrv1H,https://i.scdn.co/image/4484f9b11c11f0e62f9af2694080b54a135d42e0,https://i.scdn.co/image/b8d071bebb1a75e95822ceddc7ffb146392f5698,https://i.scdn.co/image/36b6aa774db536dd7d856ff87e1b4e8f5c3fef1a,45,artist
155,17 Memphis,Leaving Austin,16,https://open.spotify.com/artist/67igAZjBrO42dnYYbTT6WI,6252,contemporary country,country pop,,,,67igAZjBrO42dnYYbTT6WI,https://i.scdn.co/image/1625ce314f6ce2876c58135035c9b6c40499cec0,https://i.scdn.co/image/274e17c8d655116b19458605af159f82b677e51a,https://i.scdn.co/image/0090ce0ae29cf1bdc4edf5e92ddf3e8cc5d7f81c,37,artist
156,17 Memphis,Peyton Parrish,17,https://open.spotify.com/artist/62uiaKAdkbY94iXJnXyKzc,14925,country pop,,,,,62uiaKAdkbY94iXJnXyKzc,https://i.scdn.co/image/cf6688fdfe38d61c0e0adb900d32b3910638f14e,https://i.scdn.co/image/db192390381aca778d824518d50b3858c707595c,https://i.scdn.co/image/eeb4f42eb0660b2271ec4c91e92b1e0bf5064636,46,artist
157,17 Memphis,Adam Doleac,18,https://open.spotify.com/artist/4NsVVzuaZGk4aya8Pyacew,25406,contemporary country,country pop,,,,4NsVVzuaZGk4aya8Pyacew,https://i.scdn.co/image/c9dbd07cd8ba345af15d0f3bcfb267aa2141323d,https://i.scdn.co/image/64e47e28ff1a406dfd8e5124d532435d5ad3f088,https://i.scdn.co/image/175453cca8311a48fef9b4eb618318e99428effa,62,artist
158,17 Memphis,Canaan Cox,19,https://open.spotify.com/artist/6LcdklijxllKGfl4FWiv3D,5542,country pop,,,,,6LcdklijxllKGfl4FWiv3D,https://i.scdn.co/image/bb2cc14b6502c9f70e43d986b4858037f8968640,https://i.scdn.co/image/7246877d3681a57fc7cd8f7e07b5a6735ea944e1,https://i.scdn.co/image/860eaaa524659cd08793d8b52d80bfd8d1f6fc1d,31,artist
